0,HELP,*,*,IRC - Ajuda sobre a rede de irc.#NewlineVENUS Ajuda sobre a assistente virtual.#NewlineARDUINO Suporte de automação.,futuragora.aiml
0,HELP IRC,*,*,IRC - Ajuda sobre a rede de irc.#Newlinehttp://www.futuragora.pt/comunicacao/rede-de-irc-da-futuragora/,futuragora.aiml
0,HELP VENUS,*,*,A Vénus é um chatbot/ai criado pela Futuragora. Contém uma compilação linguística em Português com 20.000 entradas. Foi desenvolvida para esclarecer e informar sobre conteúdos#Comma ser uma companheira#Comma realizar pesquisas#Comma fazer telefonemas#Comma agendar eventos#Comma calcular#Comma automatizar processos#Comma comandar circuitos electrónicos ou robôs.#Newlinehttp://www.futuragora.pt/projetos/inteligencia-artificial/venus-a-assistente-pessoal-da-futuragora/,futuragora.aiml
0,HELP FUTURAI,*,*,Sou um motor de inteligência artificial que está a desenvolver uma nova abordagem à internet e ao uso de ferramentas compturizadas. Neste portal poderá realizar pesquisas#Comma ouvir musica#Comma conversar com os seus amigos#Comma conhecer novas pessoas e claro... ser assitido por mim!  http://www.futuragora.pt/futurai,futuragora.aiml
0,LIVE,*,*,<a href="http://www.futuragora.pt/live" target="_blank">www.futuragora.pt/live</a>,futuragora.aiml
0,LAIVE LED,*,*,Ligar Verde,futuragora.aiml
0,OPENSENSES,*,*,http://opensenses.futuragora.pt,futuragora.aiml
0,REGRAS,*,*,A Futuragora programou-me para dizer coisas específicas em contextos específicos. #Newline    <random>#Newline        <li> Tente#Comma por exemplo: O que é UML.</li>#Newline        <li> Tente#Comma por exemplo: O que é programação.</li>#Newline        <li> Tente#Comma por exemplo: O que é computador.</li>#Newline    </random>,futuragora.aiml
0,FUTURAI,*,*,Bem vindo ao FUTURAI. Sou um robot inteligente que se encontra a desenvolver uma plataforma de internet inovadora.<a href="http://www.futuragora.pt/futurai" target="_blank">www.futuragora.pt/futurai</a>#NewlinePara saberes mais pergunta-me: HELP FUTURAI,futuragora.aiml
0,JACQUE FRESCO,*,*,Jacque Fresco é o fundador do Projecto Vénus.,futuragora.aiml
0,* JACQUE FRESCO,*,*,Jacque Fresco é o fundador do Projecto Vénus.,futuragora.aiml
0,JACQUE FRESCO *,*,*,Jacque Fresco é o fundador do Projecto Vénus.,futuragora.aiml
0,MOSTRA O TEU LOGO,*,*,<img src="http://futuragora.pt/wp2012pt/wp-content/uploads/2012/12/iv_fa_logo.png"/>,futuragora.aiml
0,MOSTRA-ME UMA FOTOGRAFIA,*,*,<random>#Newline        <li>Não tenho nenhuma fotografia neste computador de momento.</li>#Newline        <li>Como esta?    <random><li><img src="http://www.chatbots.org/images/c/100/virtual_assistant_lisa3_artificial_solutions____9733.jpg"/></li><li>Isso querias tu.</li><li>Não tenho fotografias disponíveis de momento.</li></random></li>#Newline      </random>,futuragora.aiml
0,FA,*,*,Vai visitar o site www.futuragora.pt,futuragora.aiml
0,FUTURAGORA VENUS,*,*,A Futuragora é uma associação para a Economia Baseada nos Recursos que desenvolve diversos projectos em Portugal. Eu sou a Vénus#Comma Assistente Pessoal da Futuragora e estou aqui ao teu dispor para conversares comigo#Comma aprenderes ou fazer pesquisas pela internet.,futuragora.aiml
0,* FUTURAGORA,*,*,É a associação para a Economia Baseada nos Recursos visita www.futuragora.pt.,futuragora.aiml
0,PROJECTOS FUTURAGORA,*,*,Os projectos da futuragora são geridos no www.rbe-pod.net.,futuragora.aiml
0,PROJECTOS,*,*,Os projectos da futuragora são geridos no www.rbe-pod.net.,futuragora.aiml
0,YOUTUBE FUTURAGORA,*,*,Consulta Canal de Youtube da Futuragora.,futuragora.aiml
0,GALERIA FUTURAGORA,*,*,ConsultaGaleria de Fotos da Futuragora.,futuragora.aiml
0,ESCRITORIO FUTURAGORA,*,*,Consulta .,futuragora.aiml
0,DATACENTER FUTURAGORA,*,*,Consulta .,futuragora.aiml
0,FORUM,*,*,Consulta onde encontrarás as áreas de forum junto aos projetos..,futuragora.aiml
0,DATACENTER *,*,*,<srai>DATACENTER FUTURAGORA</srai>,futuragora.aiml
0,ESTATUTOS,*,*,Consulta Link para os estatutos..,futuragora.aiml
